"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.179842917E0,-3.691232636E0,-2.960353484E0,-8.478372064E-1,4.807048892E0
1.189784917E0,-4.123206217E0,-3.104107865E0,-7.958013725E-1,5.222031690E0
1.199725917E0,-4.856905482E0,-3.547930829E0,-1.937650323E-1,6.017880766E0
1.209667917E0,-5.145270277E0,-3.842390762E0,7.566998720E-2,6.422110163E0
1.219609917E0,-5.455918812E0,-3.529929591E0,-9.348659948E-2,6.498937816E0
1.229550917E0,-6.521174499E0,-3.448296613E0,-6.670120624E-1,7.406846257E0
1.239492917E0,-1.439897904E0,-2.770068129E0,1.377821670E0,3.412473585E0
1.249434917E0,-5.244071850E0,-2.028444133E0,-2.266450953E-1,5.627276709E0
1.259375917E0,-6.659474013E0,-3.386955228E0,1.687259246E0,7.659432330E0
1.269317917E0,-7.034707968E0,-4.287220032E0,2.919736385E0,8.740265005E0
1.279259917E0,-7.904467848E0,-3.582795437E0,2.654272209E0,9.075362035E0
1.289201917E0,-8.981760029E0,-2.521474925E0,3.816985195E0,1.007964409E1
1.299142917E0,-8.953802152E0,-1.386447337E0,3.428931220E0,9.687640503E0
1.309084917E0,-9.359829884E0,-8.602037752E-1,3.510208687E0,1.003334097E1
1.319026917E0,-9.535482581E0,-1.714956191E0,3.504769607E0,1.030290798E1
1.328967917E0,-8.488959618E0,-1.767636681E0,1.736441785E0,8.843201055E0
1.338909917E0,-8.708469356E0,-1.757419256E0,1.050525967E0,8.945924534E0
1.348851917E0,-8.456481258E0,-2.371506708E0,3.197479713E-1,8.788535606E0
1.358792917E0,-7.098613942E0,-2.232611947E0,-3.562614942E-1,7.449952903E0
1.368734917E0,-5.698842555E0,-2.228706007E0,-9.779360005E-1,6.196797218E0
1.378676917E0,-4.312450182E0,-2.496500298E0,-7.114681506E-1,5.033480629E0
1.388617917E0,-2.876863430E0,-2.370115070E0,2.877194090E-1,3.738525257E0
1.398559917E0,-2.196111873E0,-2.353468047E0,6.379440916E-1,3.281568508E0
1.408501917E0,-2.077661902E0,-2.927080488E0,9.736783504E-3,3.589508875E0
1.418442917E0,-1.432695304E0,-2.434531506E0,-9.292017969E-1,2.973714087E0
1.428384917E0,-1.115332412E0,-1.258206203E0,-1.079153935E0,1.997904516E0
1.438326917E0,-6.166479474E-1,-4.241488373E-1,1.552576089E-1,7.643702325E-1
1.448267917E0,-5.340601194E-1,-1.684910274E-1,7.642123747E-1,9.474333702E-1
1.458209917E0,-1.382876442E0,-2.313930345E-1,1.283694801E-1,1.407966162E0
1.468151917E0,-1.141850120E0,3.395583379E-1,8.057930946E-1,1.438201680E0
1.478092917E0,-1.257526757E0,1.210266051E0,1.257492843E0,2.151140560E0
1.488034917E0,-1.491390824E0,1.172716987E0,2.112675029E-1,1.908964557E0
1.497976917E0,-1.985559484E0,1.280953041E0,-2.974292369E0,3.798644792E0
1.507918917E0,-1.675948246E0,1.768334253E0,-3.523550571E0,4.283832067E0
1.517859917E0,-1.190371485E0,1.588271586E0,4.921858692E-1,2.044954237E0
1.527802417E0,-3.415370357E-1,1.221603802E0,2.134429303E0,2.482891831E0
1.537744417E0,1.471188110E0,1.589436936E0,2.604999770E0,3.387731989E0
1.547685417E0,1.511853155E0,2.947990716E0,6.790678516E-1,3.381934708E0
1.557627417E0,4.777432466E-1,4.244171661E0,1.188212693E0,4.433179570E0
1.567569417E0,7.250956714E-2,5.046850528E0,2.457921831E0,5.614030425E0
1.577510417E0,6.053534657E-1,5.477210278E0,2.779390053E0,6.171814507E0
1.587452417E0,1.274269089E0,5.924922810E0,2.252281103E0,6.465388015E0
1.597394417E0,2.130172822E0,6.127663903E0,1.953919323E0,6.775227072E0
1.607335417E0,1.871632919E0,5.460040514E0,2.471571279E0,6.278830845E0
1.617277417E0,-4.680643505E-1,4.744442475E0,3.630975909E0,5.992729319E0
1.627219417E0,2.074241281E-2,4.459978357E0,3.244290183E0,5.515184129E0
1.637160417E0,-3.066595638E-1,3.690880049E0,2.641354541E0,4.548998729E0
1.647102417E0,-3.983685805E0,3.799658433E0,5.122336328E-1,5.528972788E0
1.657044417E0,-1.919676567E0,2.921797528E0,-7.147227108E-1,3.568317176E0
1.666985417E0,1.617984797E0,6.928158250E-1,4.443677782E-1,1.815304739E0
1.676927417E0,4.045943449E0,-1.286807274E0,-6.821034336E-1,4.300092609E0
1.686869417E0,6.795670284E0,-2.974207292E0,2.255478653E-1,7.421449687E0
1.696810417E0,8.719760329E0,-2.303103932E0,3.445623851E-1,9.025365985E0
1.706752417E0,7.378112605E0,-8.343567431E-2,5.587891638E-3,7.378586473E0
1.716694417E0,5.842053146E0,1.189896106E0,1.245823408E0,6.090772830E0
1.726635417E0,4.297340977E0,1.476699110E0,3.437329575E-1,4.556965227E0
1.736577417E0,3.956267626E0,3.354954001E-1,1.225906768E-1,3.972359395E0
1.746519417E0,3.212056822E0,-9.243828142E-1,9.952250478E-1,3.487443979E0
1.756460417E0,3.581961624E0,-1.788607135E0,1.892706577E0,4.428532798E0
1.766402417E0,3.992605147E0,-1.800149831E0,3.787906407E0,5.790481001E0
1.776344417E0,4.017505515E0,-9.893942043E-1,4.408088411E0,6.045700530E0
1.786286417E0,2.868630551E0,-4.542093730E-1,3.437912250E0,4.500509752E0
1.796227417E0,3.359660425E0,-2.045567412E0,2.719394989E0,4.781921509E0
1.806169417E0,4.945867360E0,-1.421973557E0,2.266368069E0,5.623169654E0
1.816111417E0,1.596343083E0,-3.334327948E0,2.242962542E0,4.323995267E0
1.826052417E0,1.872014742E0,-5.927391504E0,3.974095201E-1,6.228671091E0
1.835994417E0,3.778315219E0,-4.926800759E0,-8.606902635E-1,6.268159167E0
1.845936417E0,1.999683434E0,-6.176048443E0,-1.785121025E0,6.732678908E0
1.855877417E0,1.519025350E0,-7.597842783E0,-1.634045345E0,7.918633541E0
1.865819417E0,-2.821070468E0,-8.971684107E0,-3.178824171E0,9.927460774E0
1.875761417E0,-6.355593047E0,-9.514500432E0,-5.183483001E0,1.256136049E1
1.885702417E0,-7.644378433E0,-8.230823758E0,-6.723202232E0,1.309138761E1
1.895644417E0,-8.537651721E0,-6.402013507E0,-7.662736351E0,1.313753410E1
1.905586417E0,-8.223396624E0,-6.776277409E0,-7.714148580E0,1.315485750E1
1.915527417E0,-8.866127831E0,-6.329392258E0,-4.679633106E0,1.185615431E1
1.925469417E0,-8.812424664E0,-5.146795816E0,-1.257881098E0,1.028253862E1
1.935411417E0,-8.071997593E0,-4.487447407E0,-1.637979790E-1,9.236945336E0
1.945352417E0,-8.557897705E0,-3.500581831E0,1.947747149E0,9.449095472E0
1.955294417E0,-8.453057129E0,-1.844228774E0,1.712854410E0,8.819819999E0
1.965236417E0,-8.172555084E0,-5.117448056E-1,9.510706758E-1,8.243608117E0
1.975177417E0,-6.622928916E0,1.285919082E0,5.234016978E0,8.538835344E0
1.985119417E0,-5.276659552E0,2.144179827E0,7.532369170E0,9.443369551E0
1.995061417E0,-3.304396051E0,3.114921706E0,8.733455093E0,9.843526216E0
2.005002417E0,-2.113619354E0,2.472510926E0,7.444155736E0,8.123801553E0
2.014944417E0,-1.012303888E0,2.315119668E0,5.302768539E0,5.874001398E0
2.024886417E0,6.298831201E-1,3.305170223E0,4.154914206E0,5.346420766E0
2.034827417E0,2.058167285E-1,3.779002267E0,4.842026949E0,6.145603602E0
2.044769417E0,-6.356455511E-1,4.596266429E0,4.767291347E0,6.652576729E0
2.054711417E0,1.031395631E0,4.811869057E0,3.883421844E0,6.268877570E0
2.064653417E0,3.635909205E0,5.565362316E0,4.487974826E0,8.020910889E0
2.074594417E0,2.904510820E0,4.808149644E0,2.027251009E0,5.971953847E0
2.084536417E0,9.528125614E-1,3.364285573E0,5.343331844E-2,3.497016487E0
2.094478417E0,1.836208733E0,3.951898586E0,1.528854520E0,4.618068978E0
2.104419417E0,6.092670071E-1,6.140696177E0,-1.420604724E0,6.332256597E0
2.114361417E0,-2.237384444E-1,8.450596036E0,-2.920508802E0,8.943824904E0
2.124303417E0,7.132361147E0,5.162804323E0,-2.242650301E0,9.085956438E0
2.134244417E0,6.991718069E0,2.243237507E-1,-2.131481136E0,7.312841755E0
2.144186417E0,6.542075956E0,-1.193490974E0,-2.012723894E0,6.947966321E0
