"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.351366417E0,-4.201085867E0,-1.251678371E-1,4.099157204E0,5.870935124E0
1.361308417E0,-4.489712033E0,5.952564937E-1,5.870581711E0,7.414551508E0
1.371249417E0,-4.928705197E0,8.190276825E-1,5.462453660E0,7.402792801E0
1.381191417E0,-4.657354045E0,7.671336436E-1,3.675051051E0,5.982093359E0
1.391133417E0,-4.493362450E0,5.248238575E-1,1.993721028E0,4.943750573E0
1.401074417E0,-6.473422043E0,-1.175417815E0,1.648065798E0,6.782545309E0
1.411016417E0,-5.298896513E0,-1.999970532E0,-4.518576229E-1,5.681756920E0
1.420958417E0,-3.926782456E0,-1.896106440E0,-4.489749455E-1,4.383653567E0
1.430899417E0,-2.913526349E0,-1.642643675E0,8.541380564E-2,3.345774880E0
1.440841417E0,-2.318712198E0,-1.759972150E0,1.619269431E-1,2.915501425E0
1.450783417E0,-1.494157727E0,-1.964936355E0,7.836510046E-1,2.589901753E0
1.460725417E0,2.383260781E-1,-1.635006627E0,-3.534209899E-1,1.689660435E0
1.470666417E0,-1.122501099E0,-2.042984989E0,-2.563362332E-1,2.345102268E0
1.480608417E0,-3.376802123E0,-3.563694338E0,-8.951888359E-1,4.990398076E0
1.490550417E0,-3.710431969E0,-4.300606062E0,-1.555539458E0,5.889161307E0
1.500491417E0,-3.607369530E0,-3.049440492E0,-1.665490647E0,5.008598740E0
1.510433417E0,-3.223861765E0,-1.831056751E0,-1.141013676E0,3.879170751E0
1.520375417E0,-2.083738913E0,-1.088138766E0,-2.884405169E-1,2.368377454E0
1.530316417E0,-2.368510010E0,-1.271174743E0,9.598324361E-1,2.854295569E0
1.540258417E0,-1.051797152E0,-1.066143880E0,1.941753022E0,2.452212229E0
1.550200417E0,-1.702668852E0,-2.268693945E0,7.439307225E-1,2.932488083E0
1.560141417E0,-1.080261397E0,-3.000329728E0,-7.762278181E-1,3.281992198E0
1.570083417E0,-3.389934969E-1,-1.866782654E0,-1.402931515E0,2.359663303E0
1.580025417E0,-9.329519087E-1,-1.112750866E0,-4.720667696E-1,1.526912175E0
1.589967417E0,-6.112264091E-1,-1.254839376E0,1.446547358E0,2.010153935E0
1.599908417E0,-6.948415929E-1,-1.022721872E0,1.186659088E0,1.713745797E0
1.609850417E0,-1.598920535E0,-2.065604943E-1,-1.542528818E0,2.231279739E0
1.619792417E0,-2.079942316E0,1.666544169E-1,-1.663838663E0,2.668762415E0
1.629733417E0,-2.186746972E0,8.353946239E-1,1.126883002E0,2.598001501E0
1.639675417E0,-2.537980446E0,1.822350247E0,2.295138563E0,3.876850034E0
1.649617417E0,-2.104711706E0,2.400966734E0,3.419442358E0,4.678358544E0
1.659558417E0,-2.063499945E0,2.837875366E0,5.622479673E0,6.627506793E0
1.669500417E0,-2.952494826E0,2.811569912E0,4.913601839E0,6.384797107E0
1.679442417E0,-3.231427478E0,3.040787782E0,3.137268887E0,5.434240512E0
1.689384417E0,-2.899782177E0,2.776891245E0,2.889251926E0,4.946477368E0
1.699325417E0,-2.814746704E0,2.841460878E0,2.700378090E0,4.825840938E0
1.709267417E0,-2.862481619E0,2.875062488E0,2.856774736E0,4.961949941E0
1.719209417E0,-2.008501620E0,3.372975120E0,2.832530718E0,4.840895597E0
1.729150417E0,-2.209200865E-1,4.211697979E0,2.170165146E0,4.743081521E0
1.739092417E0,2.816314343E0,3.152995850E0,3.389191788E0,5.418452757E0
1.749034417E0,5.712445518E0,1.372829756E0,4.285457096E0,7.271989952E0
1.758975417E0,6.007639276E0,1.219105872E0,2.931889822E0,6.795139935E0
