"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.794712083E-1,-1.012964696E-1,-5.397535533E-2,1.059106171E-2,1.152670132E-1
9.894132083E-1,-1.073481551E-1,-4.202978611E-2,8.790879428E-2,1.449761547E-1
9.993552083E-1,-9.559971012E-2,-2.200891972E-3,1.423218137E-1,1.714632531E-1
1.009297208E0,-7.059781998E-2,5.952202410E-2,1.282352865E-1,1.580228219E-1
1.019239208E0,-5.800364837E-3,6.493479162E-2,2.035942018E-2,6.829844351E-2
1.029181208E0,4.973020367E-2,2.760031968E-2,-7.152021825E-2,9.137840239E-2
1.039123208E0,9.685539968E-2,1.058404505E-2,-1.369803822E-1,1.680970421E-1
1.049065208E0,1.105027645E-1,-1.127080053E-2,-1.731951123E-1,2.057533447E-1
1.059007208E0,9.278369106E-2,-6.069702208E-3,-1.604294711E-1,1.854272629E-1
1.068949208E0,4.604857743E-2,7.508117259E-3,-9.182701349E-2,1.030002122E-1
1.078891208E0,5.009053834E-3,2.423495471E-2,-7.297325134E-4,2.475795145E-2
1.088833208E0,-3.360774904E-2,5.112425297E-2,7.324982464E-2,9.543954552E-2
1.098775208E0,-2.428611785E-2,5.681125492E-2,9.432377458E-2,1.127577432E-1
1.108717208E0,2.916737348E-3,2.365491092E-2,5.115670502E-2,5.643643004E-2
1.118659208E0,1.910186682E-2,-7.278614044E-3,-1.732120693E-2,2.679335268E-2
1.128601208E0,5.214492101E-2,-3.350045264E-2,-7.460111618E-2,9.698814180E-2
1.138543208E0,4.068251453E-2,-4.538638026E-2,-8.545939565E-2,1.049680847E-1
1.148485208E0,1.665462434E-2,-3.652141660E-2,-6.448484838E-2,7.595713300E-2
1.158427208E0,-8.376428783E-3,-3.362149000E-4,-3.144632578E-2,3.254456951E-2
1.168369208E0,6.875813976E-3,2.695858777E-2,8.256853223E-3,2.902099063E-2
1.178311208E0,-5.774125457E-5,4.630468547E-2,3.074933767E-2,5.558461116E-2
1.188253208E0,-1.180004664E-2,5.284830451E-2,9.197670221E-3,5.492523580E-2
1.198195208E0,2.189000197E-2,6.035408288E-2,-3.785545886E-2,7.453068678E-2
1.208137208E0,2.095671326E-2,3.768179655E-2,-9.549204826E-2,1.047751540E-1
1.218079208E0,3.649459250E-2,8.957057297E-3,-1.250345206E-1,1.305592414E-1
1.228021208E0,5.919224113E-2,-2.103360415E-2,-9.453427434E-2,1.135027001E-1
1.237963208E0,5.655551232E-2,-2.374320388E-2,-4.706248462E-2,7.731198590E-2
1.247905208E0,4.375822306E-2,-1.212829471E-2,1.475135565E-2,4.774390130E-2
1.257847208E0,5.289033137E-2,1.625087410E-2,3.172640741E-2,6.378121188E-2
1.267789208E0,4.614392359E-2,1.606580973E-2,2.867533028E-2,5.665374209E-2
1.277731208E0,2.007992327E-2,1.051563263E-2,1.201018095E-2,2.565202321E-2
1.287673208E0,-7.088725716E-3,2.014862806E-2,-1.184236586E-2,2.442250753E-2
1.297615208E0,-3.564751368E-2,1.625175118E-2,-1.244404435E-2,4.110619038E-2
1.307557208E0,-5.232212819E-2,2.487990260E-2,-1.706042111E-2,6.039596527E-2
1.317499208E0,-7.586429749E-2,3.357003450E-2,-1.092259884E-2,8.367581500E-2
1.327441208E0,-8.461308427E-2,4.542526424E-2,4.017504930E-2,1.041002558E-1
1.337383208E0,-1.462008566E-2,4.210784644E-2,2.992721915E-2,5.368850978E-2
1.347325208E0,4.851464063E-2,2.616015047E-2,-3.122880936E-2,6.335031461E-2
1.357267208E0,1.112714541E-1,2.105377704E-2,-4.452596247E-2,1.216846718E-1
1.367209208E0,1.151953012E-1,2.525997162E-3,-4.065685987E-2,1.221855897E-1
1.377151208E0,9.673662812E-2,-1.215373009E-2,-9.704039097E-3,9.797885868E-2
1.387093208E0,6.051685475E-2,-1.575006008E-2,2.627797186E-2,6.782983051E-2
1.397035208E0,-9.090995081E-3,-1.514194965E-2,7.009291291E-2,7.228375524E-2
1.406977208E0,-5.852496419E-2,6.608815491E-3,5.296700299E-2,7.921080281E-2
1.416919208E0,-4.443836387E-2,1.450869620E-2,8.088453412E-3,4.744147476E-2
1.426861208E0,-4.842605531E-2,2.533452362E-2,-3.103585124E-2,6.285017886E-2
